Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	2	0	0	14.7409
0.00507143	2	0	0	13.5599
0.0100714	2	0	0	13.5599
0.0150714	2	0	0	13.5599
0.0200714	2	0	0	13.5599
0.0250714	2	1	0	13.5599
0.0300714	2	1	0	13.5599
0.0350714	2	1	0	13.5599
0.0400714	2	1	0	13.5599
0.0450714	2	1	0	13.5599
0.0460714	2	1	0	13.5599
0.0500714	2	1	0	13.5599
0.0550714	2	1	0	13.5599
0.0600714	2	1	0	13.5599
0.0650714	2	1	0	13.5599
0.0700714	2	1	0	13.5599
0.0750714	2	1	0	13.5599
0.0800714	2	1	0	13.5599
0.0850714	2	1	0	13.5599
0.0900714	2	1	0	13.5599
0.0950714	2	1	0	13.5599
0.100071	2	1	0	13.5599
0.105071	2	1	0	13.5599
0.110071	2	1	0	13.5599
0.115071	2	1	0	13.5599
0.120071	2	1	0	13.5599
0.125071	2	1	0	13.5599
0.126071	2	1	0	13.5599
0.130071	2	1	0	13.5599
0.135071	2	1	0	13.5599
0.140071	2	1	0	13.5599
0.145071	2	1	0	13.5599
0.150071	2	1	0	13.5599
0.155071	2	1	0	13.5599
0.160071	2	1	0	13.5599
0.165071	2	1	0	13.5599
0.170071	2	1	0	13.5599
0.175071	2	1	0	13.5599
0.180071	2	1	0	13.5599
0.185071	2	1	0	13.5599
0.190071	2	1	0	13.5599
0.195071	2	1	0	13.5599
0.200071	2	1	0	13.5599
0.205071	2	1	0	13.5599
0.206071	2	1	0	13.5599
0.210071	2	1	0	13.5599
0.215071	2	1	0	13.5599
0.220071	2	1	0	13.5599
0.225071	2	1	0	13.5599
0.230071	2	1	0	13.5599
0.235071	2	1	0	13.5599
0.240071	2	1	0	13.5599
0.245071	2	1	0	13.5599
0.250071	2	1	0	13.5599
0.255071	2	1	0	13.5599
0.260071	2	1	0	13.5599
0.265071	2	1	0	13.5599
0.270071	2	1	0	13.5599
0.275071	2	1	0	13.5599
0.280071	2	1	0	13.5599
0.285071	2	1	0	13.5599
0.286071	2	1	0	13.5599
0.290071	2	1	0	13.5599
0.295071	2	1	0	13.5599
0.300071	2	1	0	13.5599
0.305071	2	1	0	13.5599
0.310071	2	1	0	13.5599
0.315071	2	1	0	13.5599
0.320071	2	1	0	13.5599
0.325071	2	1	0	13.5599
0.330071	2	1	0	13.5599
0.335071	2	1	0	13.5599
0.340071	2	1	0	13.5599
0.345071	2	1	0	13.5599
0.350071	2	1	0	13.5599
0.355071	2	1	0	13.5599
0.360071	2	1	0	13.5599
0.365071	2	1	0	13.5599
0.366071	2	1	0	13.5599
0.370071	2	1	0	13.5599
0.375071	2	1	0	13.5599
0.380071	2	1	0	13.5599
0.385071	2	1	0	13.5599
0.390071	2	1	0	13.5599
0.395071	2	1	0	13.5599
0.400071	2	1	0	13.5599
0.402071	2	1	0	13.5599
0.405071	2	1	0	13.5599
0.410071	2	1	0	13.5599
0.415071	2	1	0	13.5599
0.420071	2	1	0	13.5599
0.425071	2	1	0	13.5599
0.430071	2	1	0	13.5599
0.435071	2	1	0	13.5599
0.440071	2	1	0	13.5599
0.445071	2	1	0	13.5599
0.446071	2	1	0	13.5599
0.450071	2	1	0	13.5599
0.455071	2	1	0	13.5599
0.460071	2	1	0	13.5599
0.465071	2	1	0	13.5599
0.470071	2	1	0	13.5599
0.475071	2	1	0	13.5599
0.480071	2	1	0	13.5599
0.485071	2	1	0	13.5599
0.490071	2	1	0	13.5599
0.495071	2	1	0	13.5599
0.500071	2	1	0	13.5599
0.505071	2	1	0	13.5599
0.510071	2	1	0	13.5599
0.515071	2	1	0	13.5599
0.520071	2	1	0	13.5599
0.525071	2	1	0	13.5599
0.526071	2	1	0	13.5599
0.530071	2	1	0	13.5599
0.535071	2	1	0	13.5599
0.540071	2	1	0	13.5599
0.545071	2	1	0	13.5599
0.550071	2	1	0	13.5599
0.555071	2	1	0	13.5599
0.560071	2	1	0	13.5599
0.565071	2	1	0	13.5599
0.570071	2	1	0	13.5599
0.575071	2	1	0	13.5599
0.580071	2	1	0	13.5599
0.585071	2	1	0	13.5599
0.590071	2	1	0	13.5599
0.595071	2	1	0	13.5599
0.600071	2	1	0	13.5599
0.605071	2	1	0	13.5599
