Time	CellId	RNTI	BWPId	SINR(dB)
0.405	2	1	0	40.8507
0.405	4	1	2	41.2644
0.406	2	1	0	40.8507
0.406	4	1	2	41.2644
0.406929	2	1	0	40.8507
0.406929	4	1	2	41.2644
0.41	2	1	0	40.8507
0.41	4	1	2	41.2644
0.411	2	1	0	40.8507
0.411	4	1	2	41.2644
0.411929	2	1	0	40.8507
0.411929	4	1	2	41.2644
0.415	2	1	0	40.8507
0.415	4	1	2	41.2644
0.416	2	1	0	40.8507
0.416	4	1	2	41.2644
0.416929	2	1	0	40.8507
0.416929	4	1	2	41.2644
0.42	2	1	0	40.8507
0.42	4	1	2	41.2644
0.421	2	1	0	40.8507
0.421	4	1	2	41.2644
0.421929	2	1	0	40.8507
0.421929	4	1	2	41.2644
0.425	2	1	0	40.8507
0.425	4	1	2	41.2644
0.426	2	1	0	40.8507
0.426	4	1	2	41.2644
0.426929	2	1	0	40.8507
0.426929	4	1	2	41.2644
0.43	2	1	0	40.8507
0.43	4	1	2	41.2644
0.431	2	1	0	40.8507
0.431	4	1	2	41.2644
0.431929	2	1	0	40.8507
0.431929	4	1	2	41.2644
0.435	2	1	0	40.8507
0.435	4	1	2	41.2644
0.436	2	1	0	40.8507
0.436	4	1	2	41.2644
0.436929	2	1	0	40.8507
0.436929	4	1	2	41.2644
0.44	2	1	0	40.8507
0.44	4	1	2	41.2644
0.441	2	1	0	40.8507
0.441	4	1	2	41.2644
0.441929	2	1	0	40.8507
0.441929	4	1	2	41.2644
0.445	2	1	0	40.8507
0.445	4	1	2	41.2644
0.446	2	1	0	40.8507
0.446	4	1	2	41.2644
0.446929	2	1	0	40.8507
0.446929	4	1	2	41.2644
0.45	2	1	0	40.8507
0.45	4	1	2	41.2644
0.451	2	1	0	40.8507
0.451	4	1	2	41.2644
0.451929	2	1	0	40.8507
0.451929	4	1	2	41.2644
0.455	2	1	0	40.8507
0.455	4	1	2	41.2644
0.456	2	1	0	40.8507
0.456	4	1	2	41.2644
0.456929	2	1	0	40.8507
0.456929	4	1	2	41.2644
0.46	2	1	0	40.8507
0.46	4	1	2	41.2644
0.461	2	1	0	40.8507
0.461	4	1	2	41.2644
0.461929	2	1	0	40.8507
0.461929	4	1	2	41.2644
0.465	2	1	0	40.8507
0.465	4	1	2	41.2644
0.466	2	1	0	40.8507
0.466	4	1	2	41.2644
0.466929	2	1	0	40.8507
0.466929	4	1	2	41.2644
0.47	2	1	0	40.8507
0.47	4	1	2	41.2644
0.471	2	1	0	40.8507
0.471	4	1	2	41.2644
0.471929	2	1	0	40.8507
0.471929	4	1	2	41.2644
0.475	2	1	0	40.8507
0.475	4	1	2	41.2644
0.476	2	1	0	40.8507
0.476	4	1	2	41.2644
0.476929	2	1	0	40.8507
0.476929	4	1	2	41.2644
0.48	2	1	0	40.8507
0.48	4	1	2	41.2644
0.481	2	1	0	40.8507
0.481	4	1	2	41.2644
0.481929	2	1	0	40.8507
0.481929	4	1	2	41.2644
0.485	2	1	0	40.8507
0.485	4	1	2	41.2644
0.486	2	1	0	40.8507
0.486	4	1	2	41.2644
0.486929	2	1	0	40.8507
0.486929	4	1	2	41.2644
0.49	2	1	0	40.8507
0.49	4	1	2	41.2644
0.491	2	1	0	40.8507
0.491	4	1	2	41.2644
0.491929	2	1	0	40.8507
0.491929	4	1	2	41.2644
0.495	2	1	0	40.8507
0.495	4	1	2	41.2644
0.496	2	1	0	40.8507
0.496	4	1	2	41.2644
0.496929	2	1	0	40.8507
0.496929	4	1	2	41.2644
0.5	2	1	0	40.8507
0.5	4	1	2	41.2644
0.501	2	1	0	40.8507
0.501	4	1	2	41.2644
0.501929	2	1	0	40.8507
0.501929	4	1	2	41.2644
0.505	2	1	0	40.8507
0.505	4	1	2	41.2644
0.506	2	1	0	40.8507
0.506	4	1	2	41.2644
0.506929	2	1	0	40.8507
0.506929	4	1	2	41.2644
0.51	2	1	0	40.8507
0.51	4	1	2	41.2644
0.511	2	1	0	40.8507
0.511	4	1	2	41.2644
0.511929	2	1	0	40.8507
0.511929	4	1	2	41.2644
0.515	2	1	0	40.8507
0.515	4	1	2	41.2644
0.516	2	1	0	40.8507
0.516	4	1	2	41.2644
0.516929	2	1	0	40.8507
0.516929	4	1	2	41.2644
0.52	2	1	0	40.8507
0.52	4	1	2	41.2644
0.521	2	1	0	40.8507
0.521	4	1	2	41.2644
0.521929	2	1	0	40.8507
0.521929	4	1	2	41.2644
0.525	2	1	0	40.8507
0.525	4	1	2	41.2644
0.526	2	1	0	40.8507
0.526	4	1	2	41.2644
0.526929	2	1	0	40.8507
0.526929	4	1	2	41.2644
0.53	2	1	0	40.8507
0.53	4	1	2	41.2644
0.531	2	1	0	40.8507
0.531	4	1	2	41.2644
0.531929	2	1	0	40.8507
0.531929	4	1	2	41.2644
0.535	2	1	0	40.8507
0.535	4	1	2	41.2644
0.536	2	1	0	40.8507
0.536	4	1	2	41.2644
0.536929	2	1	0	40.8507
0.536929	4	1	2	41.2644
0.54	2	1	0	40.8507
0.54	4	1	2	41.2644
0.541	2	1	0	40.8507
0.541	4	1	2	41.2644
0.541929	2	1	0	40.8507
0.541929	4	1	2	41.2644
0.545	2	1	0	40.8507
0.545	4	1	2	41.2644
0.546	2	1	0	40.8507
0.546	4	1	2	41.2644
0.546929	2	1	0	40.8507
0.546929	4	1	2	41.2644
0.55	2	1	0	40.8507
0.55	4	1	2	41.2644
0.551	2	1	0	40.8507
0.551	4	1	2	41.2644
0.551929	2	1	0	40.8507
0.551929	4	1	2	41.2644
0.555	2	1	0	40.8507
0.555	4	1	2	41.2644
0.556	2	1	0	40.8507
0.556	4	1	2	41.2644
0.556929	2	1	0	40.8507
0.556929	4	1	2	41.2644
0.56	2	1	0	40.8507
0.56	4	1	2	41.2644
0.561	2	1	0	40.8507
0.561	4	1	2	41.2644
0.561929	2	1	0	40.8507
0.561929	4	1	2	41.2644
0.565	2	1	0	40.8507
0.565	4	1	2	41.2644
0.566	2	1	0	40.8507
0.566	4	1	2	41.2644
0.566929	2	1	0	40.8507
0.566929	4	1	2	41.2644
0.57	2	1	0	40.8507
0.57	4	1	2	41.2644
0.571	2	1	0	40.8507
0.571	4	1	2	41.2644
0.571929	2	1	0	40.8507
0.571929	4	1	2	41.2644
0.575	2	1	0	40.8507
0.575	4	1	2	41.2644
0.576	2	1	0	40.8507
0.576	4	1	2	41.2644
0.576929	2	1	0	40.8507
0.576929	4	1	2	41.2644
0.58	2	1	0	40.8507
0.58	4	1	2	41.2644
0.581	2	1	0	40.8507
0.581	4	1	2	41.2644
0.581929	2	1	0	40.8507
0.581929	4	1	2	41.2644
0.585	2	1	0	40.8507
0.585	4	1	2	41.2644
0.586	2	1	0	40.8507
0.586	4	1	2	41.2644
0.586929	2	1	0	40.8507
0.586929	4	1	2	41.2644
0.59	2	1	0	40.8507
0.59	4	1	2	41.2644
0.591	2	1	0	40.8507
0.591	4	1	2	41.2644
0.591929	2	1	0	40.8507
0.591929	4	1	2	41.2644
0.595	2	1	0	40.8507
0.595	4	1	2	41.2644
0.596	2	1	0	40.8507
0.596	4	1	2	41.2644
0.596929	2	1	0	40.8507
0.596929	4	1	2	41.2644
0.6	2	1	0	40.8507
0.6	4	1	2	41.2644
0.601	2	1	0	40.8507
0.601	4	1	2	41.2644
0.601929	2	1	0	40.8507
0.601929	4	1	2	41.2644
0.605	2	1	0	40.8507
0.605	4	1	2	41.2644
0.606	2	1	0	40.8507
0.606	4	1	2	41.2644
0.606929	2	1	0	40.8507
0.606929	4	1	2	41.2644
0.61	2	1	0	40.8507
0.61	4	1	2	41.2644
0.611	2	1	0	40.8507
0.611	4	1	2	41.2644
0.611929	2	1	0	40.8507
0.611929	4	1	2	41.2644
0.615	2	1	0	40.8507
0.615	4	1	2	41.2644
0.616	2	1	0	40.8507
0.616	4	1	2	41.2644
0.616929	2	1	0	40.8507
0.616929	4	1	2	41.2644
0.62	2	1	0	40.8507
0.62	4	1	2	41.2644
0.621	2	1	0	40.8507
0.621	4	1	2	41.2644
0.621929	2	1	0	40.8507
0.621929	4	1	2	41.2644
0.625	2	1	0	40.8507
0.625	4	1	2	41.2644
0.626	2	1	0	40.8507
0.626	4	1	2	41.2644
0.626929	2	1	0	40.8507
0.626929	4	1	2	41.2644
0.63	2	1	0	40.8507
0.63	4	1	2	41.2644
0.631	2	1	0	40.8507
0.631	4	1	2	41.2644
0.631929	2	1	0	40.8507
0.631929	4	1	2	41.2644
0.635	2	1	0	40.8507
0.635	4	1	2	41.2644
0.636	2	1	0	40.8507
0.636	4	1	2	41.2644
0.636929	2	1	0	40.8507
0.636929	4	1	2	41.2644
0.64	2	1	0	40.8507
0.64	4	1	2	41.2644
0.641	2	1	0	40.8507
0.641	4	1	2	41.2644
0.641929	2	1	0	40.8507
0.641929	4	1	2	41.2644
0.645	2	1	0	40.8507
