Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	1	-81.3821
0.005	1	0	1	-81.3821
0.01	1	0	1	-81.3821
0.015	1	0	1	-81.3821
0.02	1	0	1	-81.3821
0.025	1	0	1	-81.3821
0.03	1	0	1	-81.3821
0.035	1	0	1	-81.3821
0.04	1	0	1	-81.3821
0.045	1	0	1	-81.3821
0.046	1	0	1	-81.3821
0.05	1	0	1	-81.3821
0.055	1	0	1	-81.3821
0.06	1	0	1	-81.3821
0.065	1	0	1	-81.3821
0.07	1	0	1	-81.3821
0.075	1	0	1	-81.3821
0.08	1	0	1	-81.3821
0.085	1	0	1	-81.3821
0.09	1	0	1	-81.3821
0.095	1	0	1	-81.3821
0.1	1	0	1	-81.3821
0.105	1	0	1	-81.3821
0.11	1	0	1	-81.3821
0.115	1	0	1	-81.3821
0.12	1	0	1	-81.3821
0.125	1	0	1	-81.3821
0.126	1	0	1	-81.3821
0.13	1	0	1	-81.3821
0.135	1	0	1	-81.3821
0.14	1	0	1	-81.3821
0.145	1	0	1	-81.3821
0.15	1	0	1	-81.3821
0.155	1	0	1	-81.3821
0.16	1	0	1	-81.3821
0.165	1	0	1	-81.3821
0.17	1	0	1	-81.3821
0.175	1	0	1	-81.3821
0.18	1	0	1	-81.3821
0.185	1	0	1	-81.3821
0.19	1	0	1	-81.3821
0.195	1	0	1	-81.3821
0.2	1	0	1	-81.3821
0.205	1	0	1	-81.3821
0.206	1	0	1	-81.3821
0.21	1	0	1	-81.3821
0.215	1	0	1	-81.3821
0.22	1	0	1	-81.3821
0.225	1	0	1	-81.3821
0.23	1	0	1	-81.3821
0.235	1	0	1	-81.3821
0.24	1	0	1	-81.3821
0.245	1	0	1	-81.3821
0.25	1	0	1	-81.3821
0.255	1	0	1	-81.3821
0.26	1	0	1	-81.3821
0.265	1	0	1	-81.3821
0.27	1	0	1	-81.3821
0.275	1	0	1	-81.3821
0.28	1	0	1	-81.3821
0.285	1	0	1	-81.3821
0.286	1	0	1	-81.3821
0.29	1	0	1	-81.3821
0.295	1	0	1	-81.3821
0.3	1	0	1	-81.3821
0.305	1	0	1	-81.3821
0.31	1	0	1	-81.3821
0.315	1	0	1	-81.3821
0.32	1	0	1	-81.3821
0.325	1	0	1	-81.3821
0.33	1	0	1	-81.3821
0.335	1	0	1	-81.3821
0.34	1	0	1	-81.3821
0.345	1	0	1	-81.3821
0.35	1	0	1	-81.3821
0.355	1	0	1	-81.3821
0.36	1	0	1	-81.3821
0.365	1	0	1	-81.3821
0.366	1	0	1	-81.3821
0.37	1	0	1	-81.3821
0.375	1	0	1	-81.3821
0.38	1	0	1	-81.3821
0.385	1	0	1	-81.3821
0.39	1	0	1	-81.3821
0.395	1	0	1	-81.3821
0.4	1	0	1	-81.3821
0.402	1	0	1	-81.3821
0.402071	1	0	1	-81.3821
0.405	1	0	1	-81.3821
0.41	1	0	1	-81.3821
0.415	1	0	1	-81.3821
0.42	1	0	1	-81.3821
0.425	1	0	1	-81.3821
0.43	1	0	1	-81.3821
0.435	1	0	1	-81.3821
0.44	1	0	1	-81.3821
0.445	1	0	1	-81.3821
0.446	1	0	1	-81.3821
0.45	1	0	1	-81.3821
0.455	1	0	1	-81.3821
0.46	1	0	1	-81.3821
0.465	1	0	1	-81.3821
0.47	1	0	1	-81.3821
0.475	1	0	1	-81.3821
0.48	1	0	1	-81.3821
0.485	1	0	1	-81.3821
0.49	1	0	1	-81.3821
0.495	1	0	1	-81.3821
0.5	1	0	1	-81.3821
0.505	1	0	1	-81.3821
0.51	1	0	1	-81.3821
0.515	1	0	1	-81.3821
0.52	1	0	1	-81.3821
0.525	1	0	1	-81.3821
0.526	1	0	1	-81.3821
0.53	1	0	1	-81.3821
0.535	1	0	1	-81.3821
0.54	1	0	1	-81.3821
0.545	1	0	1	-81.3821
0.55	1	0	1	-81.3821
0.555	1	0	1	-81.3821
0.56	1	0	1	-81.3821
0.565	1	0	1	-81.3821
0.57	1	0	1	-81.3821
0.575	1	0	1	-81.3821
0.58	1	0	1	-81.3821
0.585	1	0	1	-81.3821
0.59	1	0	1	-81.3821
0.595	1	0	1	-81.3821
0.6	1	0	1	-81.3821
0.605	1	0	1	-81.3821
0.606	1	0	1	-81.3821
0.61	1	0	1	-81.3821
0.615	1	0	1	-81.3821
0.62	1	0	1	-81.3821
0.625	1	0	1	-81.3821
0.63	1	0	1	-81.3821
0.635	1	0	1	-81.3821
0.64	1	0	1	-81.3821
0.645	1	0	1	-81.3821
0.65	1	0	1	-81.3821
0.655	1	0	1	-81.3821
0.66	1	0	1	-81.3821
0.665	1	0	1	-81.3821
0.67	1	0	1	-81.3821
0.675	1	0	1	-81.3821
0.68	1	0	1	-81.3821
