time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.4101	2	1	4	945	0.0100983
0.4101	2	1	5	945	0.0100976
0.4111	2	1	4	945	0.0109983
0.4111	2	1	4	945	0.0108983
0.4111	2	1	4	945	0.0107983
0.4111	2	1	4	945	0.0106983
0.4111	2	1	4	945	0.0105983
0.4111	2	1	4	945	0.0104983
0.4111	2	1	4	945	0.0103983
0.4111	2	1	4	945	0.0102983
0.4111	2	1	4	945	0.0101983
0.4111	2	1	5	945	0.0109976
0.4111	2	1	5	945	0.0108976
0.4111	2	1	5	945	0.0107976
0.4111	2	1	5	945	0.0106976
0.4111	2	1	5	945	0.0105976
0.4111	2	1	5	945	0.0104976
0.4111	2	1	5	945	0.0103976
0.4111	2	1	5	945	0.0102976
0.4111	2	1	5	945	0.0101976
0.412029	2	1	4	945	0.0110269
0.412029	2	1	4	945	0.0109269
0.412029	2	1	4	945	0.0108269
0.412029	2	1	4	945	0.0107269
0.412029	2	1	4	945	0.0106269
0.412029	2	1	4	945	0.0105269
0.412029	2	1	4	945	0.0104269
0.412029	2	1	4	945	0.0103269
0.412029	2	1	4	945	0.0102269
0.412029	2	1	5	945	0.0110261
0.412029	2	1	5	945	0.0109261
0.412029	2	1	5	945	0.0108261
0.412029	2	1	5	945	0.0107261
0.412029	2	1	5	945	0.0106261
0.412029	2	1	5	945	0.0105261
0.412029	2	1	5	945	0.0104261
0.412029	2	1	5	945	0.0103261
0.412029	2	1	5	945	0.0102261
0.4151	2	1	4	945	0.0131983
0.4151	2	1	4	945	0.0130983
0.4151	2	1	4	945	0.0129983
0.4151	2	1	4	945	0.0128983
0.4151	2	1	4	945	0.0127983
0.4151	2	1	4	945	0.0126983
0.4151	2	1	4	945	0.0125983
0.4151	2	1	4	945	0.0124983
0.4151	2	1	4	945	0.0123983
0.4151	2	1	5	945	0.0131976
0.4151	2	1	5	945	0.0130976
0.4151	2	1	5	945	0.0129976
0.4151	2	1	5	945	0.0128976
0.4151	2	1	5	945	0.0127976
0.4151	2	1	5	945	0.0126976
0.4151	2	1	5	945	0.0125976
