time(s)	cellId	rnti	lcid	packetSize
0.400002	2	1	4	945
0.400002	2	1	5	945
0.400102	2	1	4	945
0.400102	2	1	5	945
0.400202	2	1	4	945
0.400202	2	1	5	945
0.400302	2	1	4	945
0.400302	2	1	5	945
0.400402	2	1	4	945
0.400402	2	1	5	945
0.400502	2	1	4	945
0.400502	2	1	5	945
0.400602	2	1	4	945
0.400602	2	1	5	945
0.400702	2	1	4	945
0.400702	2	1	5	945
0.400802	2	1	4	945
0.400802	2	1	5	945
0.400902	2	1	4	945
0.400902	2	1	5	945
0.401002	2	1	4	945
0.401002	2	1	5	945
0.401102	2	1	4	945
0.401102	2	1	5	945
0.401202	2	1	4	945
0.401202	2	1	5	945
0.401302	2	1	4	945
0.401302	2	1	5	945
0.401402	2	1	4	945
0.401402	2	1	5	945
0.401502	2	1	4	945
0.401502	2	1	5	945
0.401602	2	1	4	945
0.401602	2	1	5	945
0.401702	2	1	4	945
0.401702	2	1	5	945
0.401802	2	1	4	945
0.401802	2	1	5	945
0.401902	2	1	4	945
0.401902	2	1	5	945
0.402002	2	1	4	945
0.402002	2	1	5	945
0.402102	2	1	4	945
0.402102	2	1	5	945
0.402202	2	1	4	945
0.402202	2	1	5	945
0.402302	2	1	4	945
0.402302	2	1	5	945
0.402402	2	1	4	945
0.402402	2	1	5	945
0.402502	2	1	4	945
0.402502	2	1	5	945
0.402602	2	1	4	945
0.402602	2	1	5	945
0.402702	2	1	4	945
0.402702	2	1	5	945
0.402802	2	1	4	945
0.402802	2	1	5	945
0.402902	2	1	4	945
0.402902	2	1	5	945
0.403002	2	1	4	945
0.403002	2	1	5	945
0.403102	2	1	4	945
0.403102	2	1	5	945
0.403202	2	1	4	945
0.403202	2	1	5	945
0.403302	2	1	4	945
0.403302	2	1	5	945
0.403402	2	1	4	945
0.403402	2	1	5	945
0.403502	2	1	4	945
0.403502	2	1	5	945
0.403602	2	1	4	945
0.403602	2	1	5	945
0.403702	2	1	4	945
0.403702	2	1	5	945
0.403802	2	1	4	945
0.403802	2	1	5	945
0.403902	2	1	4	945
0.403902	2	1	5	945
0.404002	2	1	4	945
0.404002	2	1	5	945
0.404102	2	1	4	945
0.404102	2	1	5	945
0.404202	2	1	4	945
0.404202	2	1	5	945
0.404302	2	1	4	945
0.404302	2	1	5	945
0.404402	2	1	4	945
0.404402	2	1	5	945
0.404502	2	1	4	945
0.404502	2	1	5	945
0.404602	2	1	4	945
0.404602	2	1	5	945
0.404702	2	1	4	945
0.404702	2	1	5	945
0.404802	2	1	4	945
0.404802	2	1	5	945
0.404902	2	1	4	945
0.404902	2	1	5	945
0.405002	2	1	4	945
0.405002	2	1	5	945
0.405102	2	1	4	945
0.405102	2	1	5	945
0.405202	2	1	4	945
0.405202	2	1	5	945
0.405302	2	1	4	945
0.405302	2	1	5	945
0.405402	2	1	4	945
0.405402	2	1	5	945
0.405502	2	1	4	945
0.405502	2	1	5	945
0.405602	2	1	4	945
0.405602	2	1	5	945
0.405702	2	1	4	945
0.405702	2	1	5	945
0.405802	2	1	4	945
0.405802	2	1	5	945
0.405902	2	1	4	945
0.405902	2	1	5	945
0.406002	2	1	4	945
0.406002	2	1	5	945
0.406102	2	1	4	945
0.406102	2	1	5	945
0.406202	2	1	4	945
0.406202	2	1	5	945
0.406302	2	1	4	945
0.406302	2	1	5	945
0.406402	2	1	4	945
0.406402	2	1	5	945
0.406502	2	1	4	945
0.406502	2	1	5	945
0.406602	2	1	4	945
0.406602	2	1	5	945
0.406702	2	1	4	945
0.406702	2	1	5	945
0.406802	2	1	4	945
0.406802	2	1	5	945
0.406902	2	1	4	945
0.406902	2	1	5	945
0.407002	2	1	4	945
0.407002	2	1	5	945
0.407102	2	1	4	945
0.407102	2	1	5	945
0.407202	2	1	4	945
0.407202	2	1	5	945
0.407302	2	1	4	945
0.407302	2	1	5	945
0.407402	2	1	4	945
0.407402	2	1	5	945
0.407502	2	1	4	945
0.407502	2	1	5	945
0.407602	2	1	4	945
0.407602	2	1	5	945
0.407702	2	1	4	945
0.407702	2	1	5	945
0.407802	2	1	4	945
0.407802	2	1	5	945
0.407902	2	1	4	945
0.407902	2	1	5	945
0.408002	2	1	4	945
0.408002	2	1	5	945
0.408102	2	1	4	945
0.408102	2	1	5	945
0.408202	2	1	4	945
0.408202	2	1	5	945
0.408302	2	1	4	945
0.408302	2	1	5	945
0.408402	2	1	4	945
0.408402	2	1	5	945
0.408502	2	1	4	945
0.408502	2	1	5	945
0.408602	2	1	4	945
0.408602	2	1	5	945
0.408702	2	1	4	945
0.408702	2	1	5	945
0.408802	2	1	4	945
0.408802	2	1	5	945
0.408902	2	1	4	945
0.408902	2	1	5	945
0.409002	2	1	4	945
0.409002	2	1	5	945
0.409102	2	1	4	945
0.409102	2	1	5	945
0.409202	2	1	4	945
0.409202	2	1	5	945
0.409302	2	1	4	945
0.409302	2	1	5	945
0.409402	2	1	4	945
0.409402	2	1	5	945
0.409502	2	1	4	945
0.409502	2	1	5	945
0.409602	2	1	4	945
0.409602	2	1	5	945
0.409702	2	1	4	945
0.409702	2	1	5	945
0.409802	2	1	4	945
0.409802	2	1	5	945
0.409902	2	1	4	945
0.409902	2	1	5	945
0.410002	2	1	4	945
0.410002	2	1	5	945
0.410102	2	1	4	945
0.410102	2	1	5	945
0.410202	2	1	4	945
0.410202	2	1	5	945
0.410302	2	1	4	945
0.410302	2	1	5	945
0.410402	2	1	4	945
0.410402	2	1	5	945
0.410502	2	1	4	945
0.410502	2	1	5	945
0.410602	2	1	4	945
0.410602	2	1	5	945
0.410702	2	1	4	945
0.410702	2	1	5	945
0.410802	2	1	4	945
0.410802	2	1	5	945
0.410902	2	1	4	945
0.410902	2	1	5	945
0.411002	2	1	4	945
0.411002	2	1	5	945
0.411102	2	1	4	945
0.411102	2	1	5	945
0.411202	2	1	4	945
0.411202	2	1	5	945
0.411302	2	1	4	945
0.411302	2	1	5	945
0.411402	2	1	4	945
0.411402	2	1	5	945
0.411502	2	1	4	945
0.411502	2	1	5	945
0.411602	2	1	4	945
0.411602	2	1	5	945
0.411702	2	1	4	945
0.411702	2	1	5	945
0.411802	2	1	4	945
0.411802	2	1	5	945
0.411902	2	1	4	945
0.411902	2	1	5	945
0.412002	2	1	4	945
0.412002	2	1	5	945
0.412102	2	1	4	945
0.412102	2	1	5	945
0.412202	2	1	4	945
0.412202	2	1	5	945
0.412302	2	1	4	945
0.412302	2	1	5	945
0.412402	2	1	4	945
0.412402	2	1	5	945
0.412502	2	1	4	945
0.412502	2	1	5	945
0.412602	2	1	4	945
0.412602	2	1	5	945
0.412702	2	1	4	945
0.412702	2	1	5	945
0.412802	2	1	4	945
0.412802	2	1	5	945
0.412902	2	1	4	945
0.412902	2	1	5	945
0.413002	2	1	4	945
0.413002	2	1	5	945
0.413102	2	1	4	945
0.413102	2	1	5	945
0.413202	2	1	4	945
0.413202	2	1	5	945
0.413302	2	1	4	945
0.413302	2	1	5	945
0.413402	2	1	4	945
0.413402	2	1	5	945
0.413502	2	1	4	945
0.413502	2	1	5	945
0.413602	2	1	4	945
0.413602	2	1	5	945
0.413702	2	1	4	945
0.413702	2	1	5	945
0.413802	2	1	4	945
0.413802	2	1	5	945
0.413902	2	1	4	945
0.413902	2	1	5	945
0.414002	2	1	4	945
0.414002	2	1	5	945
0.414102	2	1	4	945
0.414102	2	1	5	945
0.414202	2	1	4	945
0.414202	2	1	5	945
0.414302	2	1	4	945
0.414302	2	1	5	945
0.414402	2	1	4	945
0.414402	2	1	5	945
0.414502	2	1	4	945
0.414502	2	1	5	945
0.414602	2	1	4	945
0.414602	2	1	5	945
0.414702	2	1	4	945
0.414702	2	1	5	945
0.414802	2	1	4	945
0.414802	2	1	5	945
0.414902	2	1	4	945
0.414902	2	1	5	945
0.415002	2	1	4	945
0.415002	2	1	5	945
0.415102	2	1	4	945
0.415102	2	1	5	945
0.415202	2	1	4	945
0.415202	2	1	5	945
0.415302	2	1	4	945
0.415302	2	1	5	945
0.415402	2	1	4	945
0.415402	2	1	5	945
0.415502	2	1	4	945
0.415502	2	1	5	945
0.415602	2	1	4	945
0.415602	2	1	5	945
0.415702	2	1	4	945
0.415702	2	1	5	945
0.415802	2	1	4	945
0.415802	2	1	5	945
0.415902	2	1	4	945
0.415902	2	1	5	945
0.416002	2	1	4	945
0.416002	2	1	5	945
0.416102	2	1	4	945
0.416102	2	1	5	945
0.416202	2	1	4	945
0.416202	2	1	5	945
0.416302	2	1	4	945
0.416302	2	1	5	945
0.416402	2	1	4	945
0.416402	2	1	5	945
0.416502	2	1	4	945
0.416502	2	1	5	945
0.416602	2	1	4	945
0.416602	2	1	5	945
0.416702	2	1	4	945
0.416702	2	1	5	945
0.416802	2	1	4	945
0.416802	2	1	5	945
0.416902	2	1	4	945
0.416902	2	1	5	945
0.417002	2	1	4	945
0.417002	2	1	5	945
0.417102	2	1	4	945
0.417102	2	1	5	945
0.417202	2	1	4	945
0.417202	2	1	5	945
0.417302	2	1	4	945
0.417302	2	1	5	945
0.417402	2	1	4	945
0.417402	2	1	5	945
0.417502	2	1	4	945
0.417502	2	1	5	945
0.417602	2	1	4	945
0.417602	2	1	5	945
0.417702	2	1	4	945
0.417702	2	1	5	945
0.417802	2	1	4	945
0.417802	2	1	5	945
0.417902	2	1	4	945
0.417902	2	1	5	945
0.418002	2	1	4	945
0.418002	2	1	5	945
0.418102	2	1	4	945
0.418102	2	1	5	945
0.418202	2	1	4	945
0.418202	2	1	5	945
0.418302	2	1	4	945
0.418302	2	1	5	945
0.418402	2	1	4	945
0.418402	2	1	5	945
0.418502	2	1	4	945
0.418502	2	1	5	945
0.418602	2	1	4	945
0.418602	2	1	5	945
0.418702	2	1	4	945
0.418702	2	1	5	945
0.418802	2	1	4	945
0.418802	2	1	5	945
0.418902	2	1	4	945
0.418902	2	1	5	945
0.419002	2	1	4	945
0.419002	2	1	5	945
0.419102	2	1	4	945
0.419102	2	1	5	945
0.419202	2	1	4	945
0.419202	2	1	5	945
0.419302	2	1	4	945
0.419302	2	1	5	945
0.419402	2	1	4	945
0.419402	2	1	5	945
0.419502	2	1	4	945
0.419502	2	1	5	945
0.419602	2	1	4	945
0.419602	2	1	5	945
0.419702	2	1	4	945
0.419702	2	1	5	945
0.419802	2	1	4	945
0.419802	2	1	5	945
0.419902	2	1	4	945
0.419902	2	1	5	945
0.420002	2	1	4	945
0.420002	2	1	5	945
