time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.4051	2	1	4	254	0.00309999
0.4051	2	1	5	254	0.00309999
0.4061	2	1	4	254	0.00309999
0.4061	2	1	5	254	0.00309999
0.407029	2	1	4	234	0.00302856
0.407029	2	1	5	234	0.00302856
0.4101	2	1	4	254	0.00309999
0.4101	2	1	5	254	0.00309999
0.4111	2	1	4	8934	0.00309999
0.4111	2	1	5	8934	0.00309999
0.412029	2	1	4	8247	0.00302856
0.412029	2	1	5	8247	0.00302856
0.4151	2	1	4	8934	0.00309999
0.4151	2	1	5	8934	0.00309999
0.4161	2	1	4	8934	0.00309999
0.4161	2	1	5	8934	0.00309999
0.417029	2	1	4	8247	0.00302856
0.417029	2	1	5	8247	0.00302856
0.4201	2	1	4	8934	0.00309999
0.4201	2	1	5	8934	0.00309999
0.4211	2	1	4	8934	0.00309999
0.4211	2	1	5	8934	0.00309999
0.422029	2	1	4	8247	0.00302856
0.422029	2	1	5	8247	0.00302856
0.4251	2	1	4	8934	0.00309999
0.4251	2	1	5	8934	0.00309999
0.4261	2	1	4	8934	0.00309999
0.4261	2	1	5	8934	0.00309999
0.427029	2	1	4	8247	0.00302856
0.427029	2	1	5	8247	0.00302856
0.4301	2	1	4	8934	0.00309999
0.4301	2	1	5	8934	0.00309999
0.4311	2	1	4	8934	0.00309999
0.4311	2	1	5	8934	0.00309999
0.432029	2	1	4	8247	0.00302856
0.432029	2	1	5	8247	0.00302856
0.4351	2	1	4	8934	0.00309999
0.4351	2	1	5	8934	0.00309999
0.4361	2	1	4	8934	0.00309999
0.4361	2	1	5	8934	0.00309999
0.437029	2	1	4	8247	0.00302856
0.437029	2	1	5	8247	0.00302856
0.4401	2	1	4	8934	0.00309999
0.4401	2	1	5	8934	0.00309999
0.4411	2	1	4	8934	0.00309999
0.4411	2	1	5	8934	0.00309999
0.442029	2	1	4	8247	0.00302856
0.442029	2	1	5	8247	0.00302856
0.4451	2	1	4	8934	0.00309999
0.4451	2	1	5	8934	0.00309999
0.4461	2	1	4	8934	0.00309999
0.4461	2	1	5	8934	0.00309999
0.447029	2	1	4	8247	0.00302856
0.447029	2	1	5	8247	0.00302856
0.4501	2	1	4	8934	0.00309999
0.4501	2	1	5	8934	0.00309999
0.4511	2	1	4	8934	0.00309999
0.4511	2	1	5	8934	0.00309999
0.452029	2	1	4	8247	0.00302856
0.452029	2	1	5	8247	0.00302856
0.4551	2	1	4	8934	0.00309999
0.4551	2	1	5	8934	0.00309999
0.4561	2	1	4	8934	0.00309999
0.4561	2	1	5	8934	0.00309999
0.457029	2	1	4	8247	0.00302856
