time(s)	cellId	rnti	lcid	packetSize
0.402	2	1	4	254
0.402	2	1	5	254
0.403	2	1	4	254
0.403	2	1	5	254
0.404	2	1	4	234
0.404	2	1	5	234
0.407	2	1	4	254
0.407	2	1	5	254
0.408	2	1	4	8934
0.408	2	1	5	8934
0.409	2	1	4	8247
0.409	2	1	5	8247
0.412	2	1	4	8934
0.412	2	1	5	8934
0.413	2	1	4	8934
0.413	2	1	5	8934
0.414	2	1	4	8247
0.414	2	1	5	8247
0.417	2	1	4	8934
0.417	2	1	5	8934
0.418	2	1	4	8934
0.418	2	1	5	8934
0.419	2	1	4	8247
0.419	2	1	5	8247
0.422	2	1	4	8934
0.422	2	1	5	8934
0.423	2	1	4	8934
0.423	2	1	5	8934
0.424	2	1	4	8247
0.424	2	1	5	8247
0.427	2	1	4	8934
0.427	2	1	5	8934
0.428	2	1	4	8934
0.428	2	1	5	8934
0.429	2	1	4	8247
0.429	2	1	5	8247
0.432	2	1	4	8934
0.432	2	1	5	8934
0.433	2	1	4	8934
0.433	2	1	5	8934
0.434	2	1	4	8247
0.434	2	1	5	8247
0.437	2	1	4	8934
0.437	2	1	5	8934
0.438	2	1	4	8934
0.438	2	1	5	8934
0.439	2	1	4	8247
0.439	2	1	5	8247
0.442	2	1	4	8934
0.442	2	1	5	8934
0.443	2	1	4	8934
0.443	2	1	5	8934
0.444	2	1	4	8247
0.444	2	1	5	8247
0.447	2	1	4	8934
0.447	2	1	5	8934
0.448	2	1	4	8934
0.448	2	1	5	8934
0.449	2	1	4	8247
0.449	2	1	5	8247
0.452	2	1	4	8934
0.452	2	1	5	8934
0.453	2	1	4	8934
0.453	2	1	5	8934
0.454	2	1	4	8247
0.454	2	1	5	8247
0.457	2	1	4	8934
0.457	2	1	5	8934
0.458	2	1	4	8934
0.458	2	1	5	8934
0.459	2	1	4	8247
0.459	2	1	5	8247
0.462	2	1	4	8934
0.462	2	1	5	8934
0.463	2	1	4	8934
0.463	2	1	5	8934
0.464	2	1	4	8247
0.464	2	1	5	8247
0.467	2	1	4	8934
