% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.404	1	0	2	1	40	8	0	7	3	15	1	0	0	31
0.404	1	0	1	2	40	8	0	10	3	15	1	0	0	31
0.409	1	0	2	1	41	3	0	0	13	15	1	0	28	5211
0.413	1	0	2	1	41	7	0	0	6	14	1	0	28	2404
0.413	1	0	1	2	41	7	0	6	7	15	1	0	28	2806
0.414	1	0	2	1	41	8	0	0	6	15	1	0	28	2404
0.414	1	0	1	2	41	8	0	6	7	14	1	0	28	2806
0.418	1	0	2	1	42	2	0	0	6	14	1	0	28	2404
0.418	1	0	1	2	42	2	0	6	7	15	1	0	28	2806
0.419	1	0	2	1	42	3	0	0	6	15	1	0	28	2404
0.419	1	0	1	2	42	3	0	6	7	14	1	0	28	2806
0.423	1	0	2	1	42	7	0	0	6	14	1	0	28	2404
0.423	1	0	1	2	42	7	0	6	7	15	1	0	28	2806
0.424	1	0	2	1	42	8	0	0	6	15	1	0	28	2404
0.424	1	0	1	2	42	8	0	6	7	14	1	0	28	2806
0.428	1	0	2	1	43	2	0	0	6	14	1	0	28	2404
0.428	1	0	1	2	43	2	0	6	7	15	1	0	28	2806
0.429	1	0	2	1	43	3	0	0	6	15	1	0	28	2404
0.429	1	0	1	2	43	3	0	6	7	14	1	0	28	2806
0.433	1	0	2	1	43	7	0	0	6	14	1	0	28	2404
0.433	1	0	1	2	43	7	0	6	7	15	1	0	28	2806
0.434	1	0	2	1	43	8	0	0	6	15	1	0	28	2404
0.434	1	0	1	2	43	8	0	6	7	14	1	0	28	2806
0.438	1	0	2	1	44	2	0	0	6	14	1	0	28	2404
0.438	1	0	1	2	44	2	0	6	7	15	1	0	28	2806
0.439	1	0	2	1	44	3	0	0	6	15	1	0	28	2404
0.439	1	0	1	2	44	3	0	6	7	14	1	0	28	2806
0.443	1	0	2	1	44	7	0	0	6	14	1	0	28	2404
0.443	1	0	1	2	44	7	0	6	7	15	1	0	28	2806
0.444	1	0	2	1	44	8	0	0	6	15	1	0	28	2404
0.444	1	0	1	2	44	8	0	6	7	14	1	0	28	2806
0.448	1	0	2	1	45	2	0	0	6	14	1	0	28	2404
0.448	1	0	1	2	45	2	0	6	7	15	1	0	28	2806
0.449	1	0	2	1	45	3	0	0	6	15	1	0	28	2404
0.449	1	0	1	2	45	3	0	6	7	14	1	0	28	2806
0.453	1	0	2	1	45	7	0	0	6	14	1	0	28	2404
0.453	1	0	1	2	45	7	0	6	7	15	1	0	28	2806
0.454	1	0	2	1	45	8	0	0	6	15	1	0	28	2404
0.454	1	0	1	2	45	8	0	6	7	14	1	0	28	2806
0.458	1	0	2	1	46	2	0	0	6	14	1	0	28	2404
0.458	1	0	1	2	46	2	0	6	7	15	1	0	28	2806
0.459	1	0	2	1	46	3	0	0	6	15	1	0	28	2404
0.459	1	0	1	2	46	3	0	6	7	14	1	0	28	2806
0.463	1	0	2	1	46	7	0	0	6	14	1	0	28	2404
0.463	1	0	1	2	46	7	0	6	7	15	1	0	28	2806
0.464	1	0	2	1	46	8	0	0	6	15	1	0	28	2404
0.464	1	0	1	2	46	8	0	6	7	14	1	0	28	2806
0.468	1	0	2	1	47	2	0	0	6	14	1	0	28	2404
0.468	1	0	1	2	47	2	0	6	7	15	1	0	28	2806
0.469	1	0	2	1	47	3	0	0	6	15	1	0	28	2404
0.469	1	0	1	2	47	3	0	6	7	14	1	0	28	2806
0.473	1	0	2	1	47	7	0	0	6	14	1	0	28	2404
0.473	1	0	1	2	47	7	0	6	7	15	1	0	28	2806
0.474	1	0	2	1	47	8	0	0	6	15	1	0	28	2404
0.474	1	0	1	2	47	8	0	6	7	14	1	0	28	2806
0.478	1	0	2	1	48	2	0	0	6	14	1	0	28	2404
0.478	1	0	1	2	48	2	0	6	7	15	1	0	28	2806
0.479	1	0	2	1	48	3	0	0	6	15	1	0	28	2404
0.479	1	0	1	2	48	3	0	6	7	14	1	0	28	2806
0.483	1	0	2	1	48	7	0	0	6	14	1	0	28	2404
0.483	1	0	1	2	48	7	0	6	7	15	1	0	28	2806
0.484	1	0	2	1	48	8	0	0	6	15	1	0	28	2404
0.484	1	0	1	2	48	8	0	6	7	14	1	0	28	2806
0.488	1	0	2	1	49	2	0	0	6	14	1	0	28	2404
0.488	1	0	1	2	49	2	0	6	7	15	1	0	28	2806
0.489	1	0	2	1	49	3	0	0	6	15	1	0	28	2404
0.489	1	0	1	2	49	3	0	6	7	14	1	0	28	2806
0.493	1	0	2	1	49	7	0	0	6	14	1	0	28	2404
0.493	1	0	1	2	49	7	0	6	7	15	1	0	28	2806
0.494	1	0	2	1	49	8	0	0	6	15	1	0	28	2404
0.494	1	0	1	2	49	8	0	6	7	14	1	0	28	2806
0.498	1	0	2	1	50	2	0	0	6	14	1	0	28	2404
0.498	1	0	1	2	50	2	0	6	7	15	1	0	28	2806
0.499	1	0	2	1	50	3	0	0	6	15	1	0	28	2404
0.499	1	0	1	2	50	3	0	6	7	14	1	0	28	2806
0.503	1	0	2	1	50	7	0	0	6	14	1	0	28	2404
0.503	1	0	1	2	50	7	0	6	7	15	1	0	28	2806
0.504	1	0	2	1	50	8	0	0	6	15	1	0	28	2404
0.504	1	0	1	2	50	8	0	6	7	14	1	0	28	2806
0.508	1	0	2	1	51	2	0	0	6	14	1	0	28	2404
