time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.414029	2	1	4	1282	0.0140286
0.414029	2	1	4	1282	0.0130286
0.414029	2	1	4	1282	0.0120286
0.414029	2	1	4	1282	0.0110286
0.417529	2	1	4	1282	0.0135286
0.418029	2	2	4	1282	0.0180286
0.418029	2	2	4	1282	0.0170286
0.418529	2	1	4	1282	0.0135286
0.418529	2	1	4	1282	0.0125286
0.419029	2	2	4	1282	0.0170286
0.419029	2	2	4	1282	0.0160286
0.422529	2	1	4	1282	0.0155286
0.422529	2	1	4	1282	0.0145286
0.423029	2	2	4	1282	0.0190286
0.423029	2	2	4	1282	0.0180286
0.423529	2	1	4	1282	0.0145286
0.423529	2	1	4	1282	0.0135286
0.424029	2	2	4	1282	0.0180286
0.424029	2	2	4	1282	0.0170286
0.427529	2	1	4	1282	0.0165286
0.427529	2	1	4	1282	0.0155286
0.428029	2	2	4	1282	0.0200286
0.428029	2	2	4	1282	0.0190286
0.428529	2	1	4	1282	0.0155286
0.428529	2	1	4	1282	0.0145286
0.429029	2	2	4	1282	0.0190286
0.429029	2	2	4	1282	0.0180286
0.429029	2	2	4	1282	0.0170286
0.432529	2	1	4	1282	0.0175286
0.432529	2	1	4	1282	0.0165286
0.433029	2	2	4	1282	0.0200286
0.433029	2	2	4	1282	0.0190286
0.433529	2	1	4	1282	0.0165286
0.434029	2	2	4	1282	0.0190286
0.434029	2	2	4	1282	0.0180286
0.437529	2	1	4	1282	0.0195286
0.437529	2	1	4	1282	0.0185286
0.438029	2	2	4	1282	0.0210286
0.438029	2	2	4	1282	0.0200286
0.438529	2	1	4	1282	0.0185286
0.438529	2	1	4	1282	0.0175286
0.439029	2	2	4	1282	0.0200286
0.439029	2	2	4	1282	0.0190286
0.442529	2	1	4	1282	0.0205286
0.442529	2	1	4	1282	0.0195286
0.443029	2	2	4	1282	0.0220286
0.443029	2	2	4	1282	0.0210286
0.443529	2	1	4	1282	0.0195286
0.443529	2	1	4	1282	0.0185286
0.444029	2	2	4	1282	0.0210286
0.444029	2	2	4	1282	0.0200286
0.444029	2	2	4	1282	0.0190286
0.447529	2	1	4	1282	0.0215286
0.447529	2	1	4	1282	0.0205286
0.448029	2	2	4	1282	0.0220286
0.448029	2	2	4	1282	0.0210286
0.448529	2	1	4	1282	0.0205286
0.448529	2	1	4	1282	0.0195286
0.449029	2	2	4	1282	0.0210286
0.449029	2	2	4	1282	0.0200286
0.452529	2	1	4	1282	0.0225286
0.452529	2	1	4	1282	0.0215286
0.453029	2	2	4	1282	0.0230286
0.453029	2	2	4	1282	0.0220286
0.453529	2	1	4	1282	0.0215286
0.454029	2	2	4	1282	0.0220286
