time(s)	cellId	rnti	lcid	packetSize
0.4	2	2	4	1282
0.4	2	1	4	1282
0.401	2	2	4	1282
0.401	2	1	4	1282
0.402	2	2	4	1282
0.402	2	1	4	1282
0.403	2	2	4	1282
0.403	2	1	4	1282
0.404	2	2	4	1282
0.404	2	1	4	1282
0.405	2	2	4	1282
0.405	2	1	4	1282
0.406	2	2	4	1282
0.406	2	1	4	1282
0.407	2	2	4	1282
0.407	2	1	4	1282
0.408	2	2	4	1282
0.408	2	1	4	1282
0.409	2	2	4	1282
0.409	2	1	4	1282
0.41	2	2	4	1282
0.41	2	1	4	1282
0.411	2	2	4	1282
0.411	2	1	4	1282
0.412	2	2	4	1282
0.412	2	1	4	1282
0.413	2	2	4	1282
0.413	2	1	4	1282
0.414	2	2	4	1282
0.414	2	1	4	1282
0.415	2	2	4	1282
0.415	2	1	4	1282
0.416	2	2	4	1282
0.416	2	1	4	1282
0.417	2	2	4	1282
0.417	2	1	4	1282
0.418	2	2	4	1282
0.418	2	1	4	1282
0.419	2	2	4	1282
0.419	2	1	4	1282
0.42	2	2	4	1282
0.42	2	1	4	1282
0.421	2	2	4	1282
0.421	2	1	4	1282
0.422	2	2	4	1282
0.422	2	1	4	1282
0.423	2	2	4	1282
0.423	2	1	4	1282
0.424	2	2	4	1282
0.424	2	1	4	1282
0.425	2	2	4	1282
0.425	2	1	4	1282
0.426	2	2	4	1282
0.426	2	1	4	1282
0.427	2	2	4	1282
0.427	2	1	4	1282
0.428	2	2	4	1282
0.428	2	1	4	1282
0.429	2	2	4	1282
0.429	2	1	4	1282
0.43	2	2	4	1282
0.43	2	1	4	1282
0.431	2	2	4	1282
0.431	2	1	4	1282
0.432	2	2	4	1282
0.432	2	1	4	1282
0.433	2	2	4	1282
0.433	2	1	4	1282
0.434	2	2	4	1282
0.434	2	1	4	1282
0.435	2	2	4	1282
0.435	2	1	4	1282
0.436	2	2	4	1282
0.436	2	1	4	1282
0.437	2	2	4	1282
0.437	2	1	4	1282
0.438	2	2	4	1282
0.438	2	1	4	1282
0.439	2	2	4	1282
0.439	2	1	4	1282
0.44	2	2	4	1282
0.44	2	1	4	1282
0.441	2	2	4	1282
0.441	2	1	4	1282
0.442	2	2	4	1282
0.442	2	1	4	1282
0.443	2	2	4	1282
0.443	2	1	4	1282
0.444	2	2	4	1282
0.444	2	1	4	1282
0.445	2	2	4	1282
0.445	2	1	4	1282
0.446	2	2	4	1282
0.446	2	1	4	1282
0.447	2	2	4	1282
0.447	2	1	4	1282
0.448	2	2	4	1282
0.448	2	1	4	1282
0.449	2	2	4	1282
0.449	2	1	4	1282
0.45	2	2	4	1282
0.45	2	1	4	1282
0.451	2	2	4	1282
0.451	2	1	4	1282
0.452	2	2	4	1282
0.452	2	1	4	1282
0.453	2	2	4	1282
0.453	2	1	4	1282
0.454	2	2	4	1282
0.454	2	1	4	1282
0.455	2	2	4	1282
0.455	2	1	4	1282
0.456	2	2	4	1282
0.456	2	1	4	1282
0.457	2	2	4	1282
0.457	2	1	4	1282
0.458	2	2	4	1282
0.458	2	1	4	1282
0.459	2	2	4	1282
0.459	2	1	4	1282
0.46	2	2	4	1282
0.46	2	1	4	1282
0.461	2	2	4	1282
0.461	2	1	4	1282
0.462	2	2	4	1282
0.462	2	1	4	1282
0.463	2	2	4	1282
0.463	2	1	4	1282
0.464	2	2	4	1282
0.464	2	1	4	1282
0.465	2	2	4	1282
0.465	2	1	4	1282
0.466	2	2	4	1282
0.466	2	1	4	1282
0.467	2	2	4	1282
0.467	2	1	4	1282
0.468	2	2	4	1282
0.468	2	1	4	1282
0.469	2	2	4	1282
0.469	2	1	4	1282
0.47	2	2	4	1282
0.47	2	1	4	1282
0.471	2	2	4	1282
0.471	2	1	4	1282
0.472	2	2	4	1282
0.472	2	1	4	1282
0.473	2	2	4	1282
0.473	2	1	4	1282
