time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.409029	2	1	3	30	0.00295714
0.413029	2	1	3	30	0.00295714
0.414029	2	1	3	347	0.00295714
0.418029	2	1	3	8929	0.00295714
0.419029	2	1	3	8929	0.00295714
0.423029	2	1	3	8929	0.00295714
0.424029	2	1	3	8929	0.00295714
0.428029	2	1	3	8929	0.00295714
0.429029	2	1	3	8929	0.00295714
0.433029	2	1	3	8929	0.00295714
0.434029	2	1	3	8929	0.00295714
0.438029	2	1	3	8929	0.00295714
0.439029	2	1	3	8929	0.00295714
0.443029	2	1	3	8929	0.00295714
0.444029	2	1	3	8929	0.00295714
0.448029	2	1	3	8929	0.00295714
0.449029	2	1	3	8929	0.00295714
0.453029	2	1	3	8929	0.00295714
0.454029	2	1	3	8929	0.00295714
0.458029	2	1	3	8929	0.00295714
0.459029	2	1	3	8929	0.00295714
0.463029	2	1	3	8929	0.00295714
0.464029	2	1	3	8929	0.00295714
0.468029	2	1	3	8929	0.00295714
0.469029	2	1	3	8929	0.00295714
0.473029	2	1	3	8929	0.00295714
0.474029	2	1	3	8929	0.00295714
0.478029	2	1	3	8929	0.00295714
0.479029	2	1	3	8929	0.00295714
0.483029	2	1	3	8929	0.00295714
0.484029	2	1	3	8929	0.00295714
0.488029	2	1	3	8929	0.00295714
0.489029	2	1	3	8929	0.00295714
0.493029	2	1	3	8929	0.00295714
0.494029	2	1	3	8929	0.00295714
0.498029	2	1	3	8929	0.00295714
0.499029	2	1	3	8929	0.00295714
0.503029	2	1	3	8929	0.00295714
0.504029	2	1	3	8929	0.00295714
0.508029	2	1	3	8929	0.00295714
0.509029	2	1	3	8929	0.00295714
0.513029	2	1	3	8929	0.00295714
0.514029	2	1	3	8929	0.00295714
0.518029	2	1	3	8929	0.00295714
0.519029	2	1	3	8929	0.00295714
0.523029	2	1	3	8929	0.00295714
0.524029	2	1	3	8929	0.00295714
0.528029	2	1	3	8929	0.00295714
0.529029	2	1	3	8929	0.00295714
0.533029	2	1	3	8929	0.00295714
0.534029	2	1	3	8929	0.00295714
0.538029	2	1	3	8929	0.00295714
0.539029	2	1	3	8929	0.00295714
0.543029	2	1	3	8929	0.00295714
0.544029	2	1	3	8929	0.00295714
0.548029	2	1	3	8929	0.00295714
0.549029	2	1	3	8929	0.00295714
0.553029	2	1	3	8929	0.00295714
0.554029	2	1	3	8929	0.00295714
0.558029	2	1	3	8929	0.00295714
0.559029	2	1	3	8929	0.00295714
0.563029	2	1	3	8929	0.00295714
0.564029	2	1	3	8929	0.00295714
0.568029	2	1	3	8929	0.00295714
0.569029	2	1	3	8929	0.00295714
0.573029	2	1	3	8929	0.00295714
0.574029	2	1	3	8929	0.00295714
0.578029	2	1	3	8929	0.00295714
0.583029	2	1	3	8929	0.00295714
0.584029	2	1	3	8929	0.00295714
0.588029	2	1	3	8929	0.00295714
0.589029	2	1	3	8929	0.00295714
0.593029	2	1	3	8929	0.00295714
0.594029	2	1	3	8929	0.00295714
0.598029	2	1	3	8929	0.00295714
0.599029	2	1	3	8929	0.00295714
0.603029	2	1	3	8929	0.00295714
0.604029	2	1	3	8929	0.00295714
0.608029	2	1	3	8929	0.00295714
0.609029	2	1	3	8929	0.00295714
0.613029	2	1	3	8929	0.00295714
0.614029	2	1	3	8929	0.00295714
0.618029	2	1	3	8929	0.00295714
0.619029	2	1	3	8929	0.00295714
0.623029	2	1	3	8929	0.00295714
0.624029	2	1	3	8929	0.00295714
0.628029	2	1	3	8929	0.00295714
0.629029	2	1	3	8929	0.00295714
0.633029	2	1	3	8929	0.00295714
0.634029	2	1	3	8929	0.00295714
0.638029	2	1	3	8929	0.00295714
0.639029	2	1	3	8929	0.00295714
0.643029	2	1	3	8929	0.00295714
0.644029	2	1	3	8929	0.00295714
0.648029	2	1	3	8929	0.00295714
0.649029	2	1	3	8929	0.00295714
0.653029	2	1	3	8929	0.00295714
0.654029	2	1	3	8929	0.00295714
0.658029	2	1	3	8929	0.00295714
0.659029	2	1	3	8929	0.00295714
0.663029	2	1	3	8929	0.00295714
0.664029	2	1	3	8929	0.00295714
0.668029	2	1	3	8929	0.00295714
0.669029	2	1	3	8929	0.00295714
0.673029	2	1	3	8929	0.00295714
0.674029	2	1	3	8929	0.00295714
0.678029	2	1	3	8929	0.00295714
0.679029	2	1	3	8929	0.00295714
0.683029	2	1	3	8929	0.00295714
0.684029	2	1	3	8929	0.00295714
0.688029	2	1	3	8929	0.00295714
0.689029	2	1	3	8929	0.00295714
0.693029	2	1	3	8929	0.00295714
0.694029	2	1	3	8929	0.00295714
0.698029	2	1	3	8929	0.00295714
0.699029	2	1	3	8929	0.00295714
0.703029	2	1	3	8929	0.00295714
0.704029	2	1	3	8929	0.00295714
0.708029	2	1	3	8929	0.00295714
0.709029	2	1	3	8929	0.00295714
0.713029	2	1	3	8929	0.00295714
0.714029	2	1	3	8929	0.00295714
0.718029	2	1	3	8929	0.00295714
0.719029	2	1	3	8929	0.00295714
0.723029	2	1	3	8929	0.00295714
0.724029	2	1	3	8929	0.00295714
0.728029	2	1	3	8929	0.00295714
0.729029	2	1	3	8929	0.00295714
0.733029	2	1	3	8929	0.00295714
0.734029	2	1	3	8929	0.00295714
0.738029	2	1	3	8929	0.00295714
0.739029	2	1	3	8929	0.00295714
0.743029	2	1	3	8929	0.00295714
0.744029	2	1	3	8929	0.00295714
0.748029	2	1	3	8929	0.00295714
0.749029	2	1	3	8929	0.00295714
0.753029	2	1	3	8929	0.00295714
0.754029	2	1	3	8929	0.00295714
0.758029	2	1	3	8929	0.00295714
0.759029	2	1	3	8929	0.00295714
0.763029	2	1	3	8929	0.00295714
0.764029	2	1	3	8929	0.00295714
0.768029	2	1	3	8929	0.00295714
0.769029	2	1	3	8929	0.00295714
0.773029	2	1	3	8929	0.00295714
0.774029	2	1	3	8929	0.00295714
0.778029	2	1	3	8929	0.00295714
0.783029	2	1	3	8929	0.00295714
0.784029	2	1	3	8929	0.00295714
0.788029	2	1	3	8929	0.00295714
0.789029	2	1	3	8929	0.00295714
0.793029	2	1	3	8929	0.00295714
0.794029	2	1	3	8929	0.00295714
0.798029	2	1	3	8929	0.00295714
0.799029	2	1	3	8929	0.00295714
0.803029	2	1	3	8929	0.00295714
0.804029	2	1	3	8929	0.00295714
0.808029	2	1	3	8929	0.00295714
0.809029	2	1	3	8929	0.00295714
0.813029	2	1	3	8929	0.00295714
0.814029	2	1	3	8929	0.00295714
0.818029	2	1	3	8929	0.00295714
0.819029	2	1	3	8929	0.00295714
0.823029	2	1	3	8929	0.00295714
0.824029	2	1	3	8929	0.00295714
0.828029	2	1	3	8929	0.00295714
0.829029	2	1	3	8929	0.00295714
0.833029	2	1	3	8929	0.00295714
0.834029	2	1	3	8929	0.00295714
0.838029	2	1	3	8929	0.00295714
0.839029	2	1	3	8929	0.00295714
0.843029	2	1	3	8929	0.00295714
0.844029	2	1	3	8929	0.00295714
0.848029	2	1	3	8929	0.00295714
0.849029	2	1	3	8929	0.00295714
0.853029	2	1	3	8929	0.00295714
0.854029	2	1	3	8929	0.00295714
0.858029	2	1	3	8929	0.00295714
0.859029	2	1	3	8929	0.00295714
0.863029	2	1	3	8929	0.00295714
0.864029	2	1	3	8929	0.00295714
0.868029	2	1	3	8929	0.00295714
0.869029	2	1	3	8929	0.00295714
0.873029	2	1	3	8929	0.00295714
0.874029	2	1	3	8929	0.00295714
0.878029	2	1	3	8929	0.00295714
0.879029	2	1	3	8929	0.00295714
0.883029	2	1	3	8929	0.00295714
0.884029	2	1	3	8929	0.00295714
0.888029	2	1	3	8929	0.00295714
0.889029	2	1	3	8929	0.00295714
0.893029	2	1	3	8929	0.00295714
0.894029	2	1	3	8929	0.00295714
0.898029	2	1	3	8929	0.00295714
0.899029	2	1	3	8929	0.00295714
0.903029	2	1	3	8929	0.00295714
0.904029	2	1	3	8929	0.00295714
0.908029	2	1	3	8929	0.00295714
0.909029	2	1	3	8929	0.00295714
0.913029	2	1	3	8929	0.00295714
0.914029	2	1	3	8929	0.00295714
0.918029	2	1	3	8929	0.00295714
0.919029	2	1	3	8929	0.00295714
0.923029	2	1	3	8929	0.00295714
0.924029	2	1	3	8929	0.00295714
0.928029	2	1	3	8929	0.00295714
0.929029	2	1	3	8929	0.00295714
0.933029	2	1	3	8929	0.00295714
0.934029	2	1	3	8929	0.00295714
0.938029	2	1	3	8929	0.00295714
0.939029	2	1	3	8929	0.00295714
0.943029	2	1	3	8929	0.00295714
0.944029	2	1	3	8929	0.00295714
0.948029	2	1	3	8929	0.00295714
0.949029	2	1	3	8929	0.00295714
0.953029	2	1	3	8929	0.00295714
0.954029	2	1	3	8929	0.00295714
0.958029	2	1	3	8929	0.00295714
0.959029	2	1	3	8929	0.00295714
0.963029	2	1	3	8929	0.00295714
0.964029	2	1	3	8929	0.00295714
0.968029	2	1	3	8929	0.00295714
0.969029	2	1	3	8929	0.00295714
0.973029	2	1	3	8929	0.00295714
0.974029	2	1	3	8929	0.00295714
0.978029	2	1	3	8929	0.00295714
0.983029	2	1	3	8929	0.00295714
0.984029	2	1	3	8929	0.00295714
0.988029	2	1	3	8929	0.00295714
0.989029	2	1	3	8929	0.00295714
0.993029	2	1	3	8929	0.00295714
0.994029	2	1	3	8929	0.00295714
0.998029	2	1	3	8929	0.00295714
0.999029	2	1	3	8929	0.00295714
1.00303	2	1	3	8929	0.00295714
1.00403	2	1	3	8929	0.00295714
1.00803	2	1	3	8929	0.00295714
1.00903	2	1	3	8929	0.00295714
1.01303	2	1	3	8929	0.00295714
1.01403	2	1	3	8929	0.00295714
1.01803	2	1	3	8929	0.00295714
1.01903	2	1	3	8929	0.00295714
1.02303	2	1	3	8929	0.00295714
1.02403	2	1	3	8929	0.00295714
1.02803	2	1	3	8929	0.00295714
1.02903	2	1	3	8929	0.00295714
1.03303	2	1	3	8929	0.00295714
1.03403	2	1	3	8929	0.00295714
1.03803	2	1	3	8929	0.00295714
1.03903	2	1	3	8929	0.00295714
1.04303	2	1	3	8929	0.00295714
1.04403	2	1	3	8929	0.00295714
1.04803	2	1	3	8929	0.00295714
1.04903	2	1	3	8929	0.00295714
1.05303	2	1	3	8929	0.00295714
1.05403	2	1	3	8929	0.00295714
1.05803	2	1	3	8929	0.00295714
1.05903	2	1	3	8929	0.00295714
1.06303	2	1	3	8929	0.00295714
1.06403	2	1	3	8929	0.00295714
1.06803	2	1	3	8929	0.00295714
1.06903	2	1	3	8929	0.00295714
1.07303	2	1	3	8929	0.00295714
1.07403	2	1	3	8929	0.00295714
1.07803	2	1	3	8929	0.00295714
1.07903	2	1	3	8929	0.00295714
