time(s)	cellId	rnti	lcid	packetSize
0.406071	2	1	3	30
0.410071	2	1	3	30
0.411071	2	1	3	347
0.415071	2	1	3	8929
0.416071	2	1	3	8929
0.420071	2	1	3	8929
0.421071	2	1	3	8929
0.425071	2	1	3	8929
0.426071	2	1	3	8929
0.430071	2	1	3	8929
0.431071	2	1	3	8929
0.435071	2	1	3	8929
0.436071	2	1	3	8929
0.440071	2	1	3	8929
0.441071	2	1	3	8929
0.445071	2	1	3	8929
0.446071	2	1	3	8929
0.450071	2	1	3	8929
0.451071	2	1	3	8929
0.455071	2	1	3	8929
0.456071	2	1	3	8929
0.460071	2	1	3	8929
0.461071	2	1	3	8929
0.465071	2	1	3	8929
0.466071	2	1	3	8929
0.470071	2	1	3	8929
0.471071	2	1	3	8929
0.475071	2	1	3	8929
0.476071	2	1	3	8929
0.480071	2	1	3	8929
0.481071	2	1	3	8929
0.485071	2	1	3	8929
0.486071	2	1	3	8929
0.490071	2	1	3	8929
0.491071	2	1	3	8929
0.495071	2	1	3	8929
0.496071	2	1	3	8929
0.500071	2	1	3	8929
0.501071	2	1	3	8929
0.505071	2	1	3	8929
0.506071	2	1	3	8929
0.510071	2	1	3	8929
0.511071	2	1	3	8929
0.515071	2	1	3	8929
0.516071	2	1	3	8929
0.520071	2	1	3	8929
0.521071	2	1	3	8929
0.525071	2	1	3	8929
0.526071	2	1	3	8929
0.530071	2	1	3	8929
0.531071	2	1	3	8929
0.535071	2	1	3	8929
0.536071	2	1	3	8929
0.540071	2	1	3	8929
0.541071	2	1	3	8929
0.545071	2	1	3	8929
0.546071	2	1	3	8929
0.550071	2	1	3	8929
0.551071	2	1	3	8929
0.555071	2	1	3	8929
0.556071	2	1	3	8929
0.560071	2	1	3	8929
0.561071	2	1	3	8929
0.565071	2	1	3	8929
0.566071	2	1	3	8929
0.570071	2	1	3	8929
0.571071	2	1	3	8929
0.575071	2	1	3	8929
0.580071	2	1	3	8929
0.581071	2	1	3	8929
0.585071	2	1	3	8929
0.586071	2	1	3	8929
0.590071	2	1	3	8929
0.591071	2	1	3	8929
0.595071	2	1	3	8929
0.596071	2	1	3	8929
0.600071	2	1	3	8929
0.601071	2	1	3	8929
0.605071	2	1	3	8929
0.606071	2	1	3	8929
0.610071	2	1	3	8929
0.611071	2	1	3	8929
0.615071	2	1	3	8929
0.616071	2	1	3	8929
0.620071	2	1	3	8929
0.621071	2	1	3	8929
0.625071	2	1	3	8929
0.626071	2	1	3	8929
0.630071	2	1	3	8929
0.631071	2	1	3	8929
0.635071	2	1	3	8929
0.636071	2	1	3	8929
0.640071	2	1	3	8929
0.641071	2	1	3	8929
0.645071	2	1	3	8929
0.646071	2	1	3	8929
0.650071	2	1	3	8929
0.651071	2	1	3	8929
0.655071	2	1	3	8929
0.656071	2	1	3	8929
0.660071	2	1	3	8929
0.661071	2	1	3	8929
0.665071	2	1	3	8929
0.666071	2	1	3	8929
0.670071	2	1	3	8929
0.671071	2	1	3	8929
0.675071	2	1	3	8929
0.676071	2	1	3	8929
0.680071	2	1	3	8929
0.681071	2	1	3	8929
0.685071	2	1	3	8929
0.686071	2	1	3	8929
0.690071	2	1	3	8929
0.691071	2	1	3	8929
0.695071	2	1	3	8929
0.696071	2	1	3	8929
0.700071	2	1	3	8929
0.701071	2	1	3	8929
0.705071	2	1	3	8929
0.706071	2	1	3	8929
0.710071	2	1	3	8929
0.711071	2	1	3	8929
0.715071	2	1	3	8929
0.716071	2	1	3	8929
0.720071	2	1	3	8929
0.721071	2	1	3	8929
0.725071	2	1	3	8929
0.726071	2	1	3	8929
0.730071	2	1	3	8929
0.731071	2	1	3	8929
0.735071	2	1	3	8929
0.736071	2	1	3	8929
0.740071	2	1	3	8929
0.741071	2	1	3	8929
0.745071	2	1	3	8929
0.746071	2	1	3	8929
0.750071	2	1	3	8929
0.751071	2	1	3	8929
0.755071	2	1	3	8929
0.756071	2	1	3	8929
0.760071	2	1	3	8929
0.761071	2	1	3	8929
0.765071	2	1	3	8929
0.766071	2	1	3	8929
0.770071	2	1	3	8929
0.771071	2	1	3	8929
0.775071	2	1	3	8929
0.780071	2	1	3	8929
0.781071	2	1	3	8929
0.785071	2	1	3	8929
0.786071	2	1	3	8929
0.790071	2	1	3	8929
0.791071	2	1	3	8929
0.795071	2	1	3	8929
0.796071	2	1	3	8929
0.800071	2	1	3	8929
0.801071	2	1	3	8929
0.805071	2	1	3	8929
0.806071	2	1	3	8929
0.810071	2	1	3	8929
0.811071	2	1	3	8929
0.815071	2	1	3	8929
0.816071	2	1	3	8929
0.820071	2	1	3	8929
0.821071	2	1	3	8929
0.825071	2	1	3	8929
0.826071	2	1	3	8929
0.830071	2	1	3	8929
0.831071	2	1	3	8929
0.835071	2	1	3	8929
0.836071	2	1	3	8929
0.840071	2	1	3	8929
0.841071	2	1	3	8929
0.845071	2	1	3	8929
0.846071	2	1	3	8929
0.850071	2	1	3	8929
0.851071	2	1	3	8929
0.855071	2	1	3	8929
0.856071	2	1	3	8929
0.860071	2	1	3	8929
0.861071	2	1	3	8929
0.865071	2	1	3	8929
0.866071	2	1	3	8929
0.870071	2	1	3	8929
0.871071	2	1	3	8929
0.875071	2	1	3	8929
0.876071	2	1	3	8929
0.880071	2	1	3	8929
0.881071	2	1	3	8929
0.885071	2	1	3	8929
0.886071	2	1	3	8929
0.890071	2	1	3	8929
0.891071	2	1	3	8929
0.895071	2	1	3	8929
0.896071	2	1	3	8929
0.900071	2	1	3	8929
0.901071	2	1	3	8929
0.905071	2	1	3	8929
0.906071	2	1	3	8929
0.910071	2	1	3	8929
0.911071	2	1	3	8929
0.915071	2	1	3	8929
0.916071	2	1	3	8929
0.920071	2	1	3	8929
0.921071	2	1	3	8929
0.925071	2	1	3	8929
0.926071	2	1	3	8929
0.930071	2	1	3	8929
0.931071	2	1	3	8929
0.935071	2	1	3	8929
0.936071	2	1	3	8929
0.940071	2	1	3	8929
0.941071	2	1	3	8929
0.945071	2	1	3	8929
0.946071	2	1	3	8929
0.950071	2	1	3	8929
0.951071	2	1	3	8929
0.955071	2	1	3	8929
0.956071	2	1	3	8929
0.960071	2	1	3	8929
0.961071	2	1	3	8929
0.965071	2	1	3	8929
0.966071	2	1	3	8929
0.970071	2	1	3	8929
0.971071	2	1	3	8929
0.975071	2	1	3	8929
0.980071	2	1	3	8929
0.981071	2	1	3	8929
0.985071	2	1	3	8929
0.986071	2	1	3	8929
0.990071	2	1	3	8929
0.991071	2	1	3	8929
0.995071	2	1	3	8929
0.996071	2	1	3	8929
1.00007	2	1	3	8929
1.00107	2	1	3	8929
1.00507	2	1	3	8929
1.00607	2	1	3	8929
1.01007	2	1	3	8929
1.01107	2	1	3	8929
1.01507	2	1	3	8929
1.01607	2	1	3	8929
1.02007	2	1	3	8929
1.02107	2	1	3	8929
1.02507	2	1	3	8929
1.02607	2	1	3	8929
1.03007	2	1	3	8929
1.03107	2	1	3	8929
1.03507	2	1	3	8929
1.03607	2	1	3	8929
1.04007	2	1	3	8929
1.04107	2	1	3	8929
1.04507	2	1	3	8929
1.04607	2	1	3	8929
1.05007	2	1	3	8929
1.05107	2	1	3	8929
1.05507	2	1	3	8929
1.05607	2	1	3	8929
1.06007	2	1	3	8929
1.06107	2	1	3	8929
1.06507	2	1	3	8929
1.06607	2	1	3	8929
1.07007	2	1	3	8929
1.07107	2	1	3	8929
1.07507	2	1	3	8929
1.07607	2	1	3	8929
1.08007	2	1	3	8929
1.08107	2	1	3	8929
1.08507	2	1	3	8929
1.08607	2	1	3	8929
1.09007	2	1	3	8929
1.09107	2	1	3	8929
1.09507	2	1	3	8929
1.09607	2	1	3	8929
1.10007	2	1	3	8929
1.10107	2	1	3	8929
1.10507	2	1	3	8929
1.10607	2	1	3	8929
1.11007	2	1	3	8929
1.11107	2	1	3	8929
1.11507	2	1	3	8929
1.11607	2	1	3	8929
