Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	corrupt	TBler
0.408714	UL	40	8	0	7	3	1	01	31	0	1	0	68.7356	0	0	
0.408714	UL	40	8	0	7	3	1	01	31	0	1	0	68.7356	0	0	
0.408929	UL	40	8	0	10	3	1	02	31	0	1	0	67.7048	0	0	
0.408929	UL	40	8	0	10	3	1	02	31	0	1	0	67.7048	0	0	
0.413929	UL	41	3	0	0	13	1	01	5211	28	1	0	68.7356	0	0	
0.413929	UL	41	3	0	0	13	1	01	5211	28	1	0	68.7356	0	0	
0.417429	UL	41	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.417429	UL	41	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.417929	UL	41	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.417929	UL	41	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.418429	UL	41	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.418429	UL	41	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.418929	UL	41	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.418929	UL	41	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.422429	UL	42	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.422429	UL	42	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.422929	UL	42	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.422929	UL	42	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.423429	UL	42	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.423429	UL	42	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.423929	UL	42	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.423929	UL	42	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.427429	UL	42	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.427429	UL	42	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.427929	UL	42	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.427929	UL	42	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.428429	UL	42	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.428429	UL	42	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.428929	UL	42	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.428929	UL	42	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.432429	UL	43	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.432429	UL	43	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.432929	UL	43	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.432929	UL	43	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.433429	UL	43	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.433429	UL	43	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.433929	UL	43	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.433929	UL	43	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.437429	UL	43	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.437429	UL	43	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.437929	UL	43	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.437929	UL	43	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.438429	UL	43	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.438429	UL	43	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.438929	UL	43	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.438929	UL	43	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.442429	UL	44	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.442429	UL	44	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.442929	UL	44	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.442929	UL	44	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.443429	UL	44	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.443429	UL	44	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.443929	UL	44	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.443929	UL	44	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.447429	UL	44	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.447429	UL	44	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.447929	UL	44	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.447929	UL	44	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.448429	UL	44	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.448429	UL	44	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.448929	UL	44	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.448929	UL	44	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.452429	UL	45	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.452429	UL	45	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.452929	UL	45	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.452929	UL	45	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.453429	UL	45	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.453429	UL	45	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.453929	UL	45	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.453929	UL	45	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.457429	UL	45	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.457429	UL	45	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.457929	UL	45	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.457929	UL	45	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.458429	UL	45	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
