Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.0589286	ENB PHY Rxed	5	8	0	3	0	1	SRS
0.152929	ENB PHY Rxed	15	2	0	4	0	2	SRS
0.178929	ENB PHY Rxed	17	8	0	2	0	0	SRS
0.258929	ENB PHY Rxed	25	8	0	3	0	1	SRS
0.352929	ENB PHY Rxed	35	2	0	4	0	2	SRS
0.378929	ENB PHY Rxed	37	8	0	2	0	0	SRS
0.404	ENB PHY Rxed	40	3	0	2	0	0	SR
0.407	ENB PHY Rxed	40	6	0	4	1	2	DL_HARQ
0.407	ENB PHY Rxed	40	6	0	2	1	0	DL_HARQ
0.408	ENB PHY Rxed	40	7	0	4	1	2	DL_CQI
0.408	ENB PHY Rxed	40	7	0	4	1	2	DL_HARQ
0.408	ENB PHY Rxed	40	7	0	2	1	0	DL_CQI
0.408	ENB PHY Rxed	40	7	0	2	1	0	DL_HARQ
0.409	ENB PHY Rxed	40	8	0	4	1	2	DL_CQI
0.409	ENB PHY Rxed	40	8	0	4	1	2	DL_HARQ
0.409	ENB PHY Rxed	40	8	0	2	1	0	DL_CQI
0.409	ENB PHY Rxed	40	8	0	2	1	0	DL_HARQ
0.412	ENB PHY Rxed	41	1	0	4	1	2	DL_CQI
0.412	ENB PHY Rxed	41	1	0	4	1	2	DL_HARQ
0.412	ENB PHY Rxed	41	1	0	2	1	0	DL_CQI
0.412	ENB PHY Rxed	41	1	0	2	1	0	DL_HARQ
0.413	ENB PHY Rxed	41	2	0	4	1	2	DL_CQI
0.413	ENB PHY Rxed	41	2	0	4	1	2	DL_HARQ
0.413	ENB PHY Rxed	41	2	0	2	1	0	DL_CQI
0.413	ENB PHY Rxed	41	2	0	2	1	0	DL_HARQ
0.414	ENB PHY Rxed	41	3	0	4	1	2	DL_CQI
0.414	ENB PHY Rxed	41	3	0	4	1	2	DL_HARQ
0.414	ENB PHY Rxed	41	3	0	2	1	0	DL_CQI
0.414	ENB PHY Rxed	41	3	0	2	1	0	DL_HARQ
0.417	ENB PHY Rxed	41	6	0	4	1	2	DL_CQI
0.417	ENB PHY Rxed	41	6	0	4	1	2	DL_HARQ
0.417	ENB PHY Rxed	41	6	0	2	1	0	DL_CQI
0.417	ENB PHY Rxed	41	6	0	2	1	0	DL_HARQ
0.418	ENB PHY Rxed	41	7	0	4	1	2	DL_CQI
0.418	ENB PHY Rxed	41	7	0	4	1	2	DL_HARQ
0.418	ENB PHY Rxed	41	7	0	2	1	0	DL_CQI
0.418	ENB PHY Rxed	41	7	0	2	1	0	DL_HARQ
0.419	ENB PHY Rxed	41	8	0	4	1	2	DL_CQI
0.419	ENB PHY Rxed	41	8	0	4	1	2	DL_HARQ
0.419	ENB PHY Rxed	41	8	0	2	1	0	DL_CQI
0.419	ENB PHY Rxed	41	8	0	2	1	0	DL_HARQ
0.422	ENB PHY Rxed	42	1	0	4	1	2	DL_CQI
0.422	ENB PHY Rxed	42	1	0	4	1	2	DL_HARQ
0.422	ENB PHY Rxed	42	1	0	2	1	0	DL_CQI
0.422	ENB PHY Rxed	42	1	0	2	1	0	DL_HARQ
0.423	ENB PHY Rxed	42	2	0	4	1	2	DL_CQI
0.423	ENB PHY Rxed	42	2	0	4	1	2	DL_HARQ
0.423	ENB PHY Rxed	42	2	0	2	1	0	DL_CQI
0.423	ENB PHY Rxed	42	2	0	2	1	0	DL_HARQ
0.424	ENB PHY Rxed	42	3	0	4	1	2	DL_CQI
0.424	ENB PHY Rxed	42	3	0	4	1	2	DL_HARQ
0.424	ENB PHY Rxed	42	3	0	2	1	0	DL_CQI
0.424	ENB PHY Rxed	42	3	0	2	1	0	DL_HARQ
