Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	1	-67.3431
0.0588571	1	1	1	-67.544
0.152857	1	2	1	-66.5642
0.178857	1	0	1	-67.3431
0.258857	1	1	1	-67.544
0.352857	1	2	1	-66.5642
0.378857	1	0	1	-67.3431
0.403929	1	0	1	-67.3431
0.406929	1	2	1	-66.5642
0.406929	1	0	1	-67.3431
0.407929	1	2	1	-66.5642
0.407929	1	0	1	-67.3431
0.408	1	0	1	-67.3431
0.408929	1	2	1	-66.5642
0.408929	1	0	1	-67.3431
0.411929	1	2	1	-66.5642
0.411929	1	0	1	-67.3431
0.412	1	0	1	-67.3431
0.412929	1	2	1	-66.5642
0.412929	1	0	1	-67.3431
0.413	1	0	1	-67.3431
0.413929	1	2	1	-66.5642
0.413929	1	0	1	-67.3431
0.416929	1	2	1	-66.5642
0.416929	1	0	1	-67.3431
0.417	1	0	1	-67.3431
0.417929	1	2	1	-66.5642
0.417929	1	0	1	-67.3431
0.418	1	0	1	-67.3431
0.418929	1	2	1	-66.5642
0.418929	1	0	1	-67.3431
0.421929	1	2	1	-66.5642
0.421929	1	0	1	-67.3431
0.422	1	0	1	-67.3431
0.422929	1	2	1	-66.5642
0.422929	1	0	1	-67.3431
0.423	1	0	1	-67.3431
0.423929	1	2	1	-66.5642
0.423929	1	0	1	-67.3431
0.426929	1	2	1	-66.5642
0.426929	1	0	1	-67.3431
0.427	1	0	1	-67.3431
0.427929	1	2	1	-66.5642
0.427929	1	0	1	-67.3431
0.428	1	0	1	-67.3431
0.428929	1	2	1	-66.5642
0.428929	1	0	1	-67.3431
0.431929	1	2	1	-66.5642
0.431929	1	0	1	-67.3431
0.432	1	0	1	-67.3431
0.432929	1	2	1	-66.5642
0.432929	1	0	1	-67.3431
0.433	1	0	1	-67.3431
0.433929	1	2	1	-66.5642
0.433929	1	0	1	-67.3431
0.436929	1	2	1	-66.5642
0.436929	1	0	1	-67.3431
0.437	1	0	1	-67.3431
0.437929	1	2	1	-66.5642
0.437929	1	0	1	-67.3431
0.438	1	0	1	-67.3431
0.438929	1	2	1	-66.5642
0.438929	1	0	1	-67.3431
0.441929	1	2	1	-66.5642
0.441929	1	0	1	-67.3431
0.442	1	0	1	-67.3431
0.442929	1	2	1	-66.5642
0.442929	1	0	1	-67.3431
0.443	1	0	1	-67.3431
0.443929	1	2	1	-66.5642
0.443929	1	0	1	-67.3431
0.446929	1	2	1	-66.5642
0.446929	1	0	1	-67.3431
0.447	1	0	1	-67.3431
0.447929	1	2	1	-66.5642
0.447929	1	0	1	-67.3431
0.448	1	0	1	-67.3431
0.448929	1	2	1	-66.5642
0.448929	1	0	1	-67.3431
0.451929	1	2	1	-66.5642
0.451929	1	0	1	-67.3431
0.452	1	0	1	-67.3431
0.452929	1	2	1	-66.5642
0.452929	1	0	1	-67.3431
0.453	1	0	1	-67.3431
0.453929	1	2	1	-66.5642
0.453929	1	0	1	-67.3431
0.456929	1	2	1	-66.5642
0.456929	1	0	1	-67.3431
0.457	1	0	1	-67.3431
0.457929	1	2	1	-66.5642
0.457929	1	0	1	-67.3431
0.458	1	0	1	-67.3431
0.458857	1	1	1	-67.544
0.458929	1	2	1	-66.5642
0.458929	1	0	1	-67.3431
0.461929	1	2	1	-66.5642
0.461929	1	0	1	-67.3431
0.462	1	0	1	-67.3431
0.462929	1	2	1	-66.5642
0.462929	1	0	1	-67.3431
0.463	1	0	1	-67.3431
0.463929	1	2	1	-66.5642
0.463929	1	0	1	-67.3431
0.466929	1	2	1	-66.5642
0.466929	1	0	1	-67.3431
0.467	1	0	1	-67.3431
0.467929	1	2	1	-66.5642
0.467929	1	0	1	-67.3431
0.468	1	0	1	-67.3431
0.468929	1	2	1	-66.5642
0.468929	1	0	1	-67.3431
0.471929	1	2	1	-66.5642
0.471929	1	0	1	-67.3431
0.472	1	0	1	-67.3431
0.472929	1	2	1	-66.5642
0.472929	1	0	1	-67.3431
0.473	1	0	1	-67.3431
0.473929	1	2	1	-66.5642
0.473929	1	0	1	-67.3431
0.476929	1	2	1	-66.5642
