RR,MRTT,BLEST,ECF,PEEK
6.00265,5.82894,5.82894,6.1505,7.99947
6.00265,5.82894,5.82894,6.1505,7.99947
6.00265,5.82894,5.82894,6.1505,7.99947
6.00265,5.82894,5.82894,6.1505,7.99947
6.00265,5.82894,5.82894,6.1505,7.99947
10.1014,3.35648,10.9793,9.78943,6.47552
10.1014,3.35648,10.9793,9.78943,6.47552
10.1014,3.35648,10.9793,9.78943,6.47552
10.1014,3.35648,10.9793,9.78943,6.47552
10.1014,3.35648,10.9793,9.78943,6.47552
10.5786,7.43813,4.57556,7.88398,4.4007
10.5786,7.43813,4.57556,7.88398,4.4007
10.5786,7.43813,4.57556,7.88398,4.4007
10.5786,7.43813,4.57556,7.88398,4.4007
10.5786,7.43813,4.57556,7.88398,4.4007
12.749,11.8279,11.8279,12.2324,8.10141
12.749,11.8279,11.8279,12.2324,8.10141
12.749,11.8279,11.8279,12.2324,8.10141
12.749,11.8279,11.8279,12.2324,8.10141
12.749,11.8279,11.8279,12.2324,8.10141
10.3215,6.3173,5.76347,6.9297,10.7821
10.3215,6.3173,5.76347,6.9297,10.7821
10.3215,6.3173,5.76347,6.9297,10.7821
10.3215,6.3173,5.76347,6.9297,10.7821
10.3215,6.3173,5.76347,6.9297,10.7821
11.2956,8.62093,8.62093,11.6632,8.33799
11.2956,8.62093,8.62093,11.6632,8.33799
11.2956,8.62093,8.62093,11.6632,8.33799
11.2956,8.62093,8.62093,11.6632,8.33799
11.2956,8.62093,8.62093,11.6632,8.33799
11.2855,4.63427,5.01945,5.73045,7.09861
11.2855,4.63427,5.01945,5.73045,7.09861
11.2855,4.63427,5.01945,5.73045,7.09861
11.2855,4.63427,5.01945,5.73045,7.09861
11.2855,4.63427,5.01945,5.73045,7.09861
10.2033,3.30712,4.84228,7.13428,7.02785
10.2033,3.30712,4.84228,7.13428,7.02785
10.2033,3.30712,4.84228,7.13428,7.02785
10.2033,3.30712,4.84228,7.13428,7.02785
10.2033,3.30712,4.84228,7.13428,7.02785
8.71377,12.4124,12.4124,8.09529,8.65011
8.71377,12.4124,12.4124,8.09529,8.65011
8.71377,12.4124,12.4124,8.09529,8.65011
8.71377,12.4124,12.4124,8.09529,8.65011
8.71377,12.4124,12.4124,8.09529,8.65011
